Sample in Buffer,Sample in Window,TRIGGER,pwm_out_1[7:0],cnt_out_1[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,08,08
1,1,0,08,09
2,2,0,08,0a
3,3,0,08,0b
4,4,0,08,0c
5,5,0,08,0d
6,6,0,08,0e
7,7,0,08,0f
8,8,0,08,10
9,9,0,08,11
10,10,0,08,12
11,11,0,08,13
12,12,0,08,14
13,13,0,08,15
14,14,0,08,16
15,15,0,08,17
16,16,0,08,18
17,17,0,08,19
18,18,0,08,1a
19,19,0,08,1b
20,20,0,08,1c
21,21,0,08,1d
22,22,0,08,1e
23,23,0,08,1f
24,24,0,08,20
25,25,0,08,21
26,26,0,08,22
27,27,0,08,23
28,28,0,08,24
29,29,0,08,25
30,30,0,08,26
31,31,0,08,27
32,32,0,08,28
33,33,0,08,29
34,34,0,08,2a
35,35,0,08,2b
36,36,0,08,2c
37,37,0,08,2d
38,38,0,08,2e
39,39,0,08,2f
40,40,0,08,30
41,41,0,08,31
42,42,0,08,32
43,43,0,08,33
44,44,0,08,34
45,45,0,08,35
46,46,0,08,36
47,47,0,08,37
48,48,0,08,38
49,49,0,08,39
50,50,0,08,3a
51,51,0,08,3b
52,52,0,08,3c
53,53,0,08,3d
54,54,0,08,3e
55,55,0,08,3f
56,56,0,08,40
57,57,0,08,41
58,58,0,08,42
59,59,0,08,43
60,60,0,08,44
61,61,0,08,45
62,62,0,08,46
63,63,0,08,47
64,64,0,08,48
65,65,0,08,49
66,66,0,08,4a
67,67,0,08,4b
68,68,0,08,4c
69,69,0,08,4d
70,70,0,08,4e
71,71,0,08,4f
72,72,0,08,50
73,73,0,08,51
74,74,0,08,52
75,75,0,08,53
76,76,0,08,54
77,77,0,08,55
78,78,0,08,56
79,79,0,08,57
80,80,0,08,58
81,81,0,08,59
82,82,0,08,5a
83,83,0,08,5b
84,84,0,08,5c
85,85,0,08,5d
86,86,0,08,5e
87,87,0,08,5f
88,88,0,08,60
89,89,0,08,61
90,90,0,08,62
91,91,0,08,63
92,92,0,08,64
93,93,0,08,65
94,94,0,08,66
95,95,0,08,67
96,96,0,08,68
97,97,0,08,69
98,98,0,08,6a
99,99,0,08,6b
100,100,0,08,6c
101,101,0,08,6d
102,102,0,08,6e
103,103,0,08,6f
104,104,0,08,70
105,105,0,08,71
106,106,0,08,72
107,107,0,08,73
108,108,0,08,74
109,109,0,08,75
110,110,0,08,76
111,111,0,08,77
112,112,0,08,78
113,113,0,08,79
114,114,0,08,7a
115,115,0,08,7b
116,116,0,08,7c
117,117,0,08,7d
118,118,0,08,7e
119,119,0,08,7f
120,120,0,08,80
121,121,0,08,81
122,122,0,08,82
123,123,0,08,83
124,124,0,08,84
125,125,0,08,85
126,126,0,08,86
127,127,0,08,87
128,128,0,08,88
129,129,0,08,89
130,130,0,08,8a
131,131,0,08,8b
132,132,0,08,8c
133,133,0,08,8d
134,134,0,08,8e
135,135,0,08,8f
136,136,0,08,90
137,137,0,08,91
138,138,0,08,92
139,139,0,08,93
140,140,0,08,94
141,141,0,08,95
142,142,0,08,96
143,143,0,08,97
144,144,0,08,98
145,145,0,08,99
146,146,0,00,9a
147,147,0,00,9b
148,148,0,00,9c
149,149,0,00,9d
150,150,0,00,9e
151,151,0,00,9f
152,152,0,00,a0
153,153,0,00,a1
154,154,0,00,a2
155,155,0,00,a3
156,156,0,00,a4
157,157,0,00,a5
158,158,0,00,a6
159,159,0,00,a7
160,160,0,00,a8
161,161,0,00,a9
162,162,0,00,aa
163,163,0,00,ab
164,164,0,00,ac
165,165,0,00,ad
166,166,0,00,ae
167,167,0,00,af
168,168,0,00,b0
169,169,0,00,b1
170,170,0,00,b2
171,171,0,00,b3
172,172,0,00,b4
173,173,0,00,b5
174,174,0,00,b6
175,175,0,00,b7
176,176,0,00,b8
177,177,0,00,b9
178,178,0,00,ba
179,179,0,00,bb
180,180,0,00,bc
181,181,0,00,bd
182,182,0,00,be
183,183,0,00,bf
184,184,0,00,c0
185,185,0,00,c1
186,186,0,00,c2
187,187,0,00,c3
188,188,0,00,c4
189,189,0,00,c5
190,190,0,00,c6
191,191,0,00,c7
192,192,0,00,c8
193,193,0,00,c9
194,194,0,00,ca
195,195,0,00,cb
196,196,0,00,cc
197,197,0,00,cd
198,198,0,00,ce
199,199,0,00,cf
200,200,0,00,d0
201,201,0,00,d1
202,202,0,00,d2
203,203,0,00,d3
204,204,0,00,d4
205,205,0,00,d5
206,206,0,00,d6
207,207,0,00,d7
208,208,0,00,d8
209,209,0,00,d9
210,210,0,00,da
211,211,0,00,db
212,212,0,00,dc
213,213,0,00,dd
214,214,0,00,de
215,215,0,00,df
216,216,0,00,e0
217,217,0,00,e1
218,218,0,00,e2
219,219,0,00,e3
220,220,0,00,e4
